Timestamp (millisec since midnight today),Test time,pwm_duty_limb0_fwd,pwm_duty_limb0_rev,pwm_duty_limb1_fwd,pwm_duty_limb1_rev,unconstrained_pwm_duty_lim0_fwd,unconstrained_pwm_duty_lim0_rev,unconstrained_pwm_duty_lim1_fwd,unconstrained_pwm_duty_lim1_rev,u_setpoint_limb0,u_setpoint_limb1,temp_limit,Bendlabs_0,Bendlabs_1,MCPtemp_0,MCPtemp_1,MCPtemp_2,MCPtemp_3,tagid_x_101,tagid_y_101,tagid_x_102,tagid_y_102,tagid_x_103,tagid_y_103,tagid_x_104,tagid_y_104,tagid_x_105,tagid_y_105,tagid_x_106,tagid_y_106,tagid_x_107,tagid_y_107,tagid_x_108,tagid_y_108,tagid_x_109,tagid_y_109
62577300,9.008,0,0,0.1,0,0,0,0.1,0,0,0.1,115,0,0,30.25,54.5,57.94,30.06,33.5893898353304,54.0690842559498,109.527305427519,70.6036651419461,167.090566400458,99.9730291142552,217.966334419029,140.019819171454,270.357286560097,191.736593725661,322.605908672767,247.871478785127,361.801457930823,299.806517161711,386.546163339268,348.936067468317,409.803763751296,402.801625727864
62577500,9.207,0,0,0.1,0,0,0,0.1,0,0,0.1,115,0,0,30.19,54.75,64.31,30.06,33.5929916994066,54.0920223063914,109.517902784623,70.6369604480648,167.162523649498,99.9729789735946,218.141344611892,139.887285798663,270.716470175099,191.363455070711,323.123971215855,247.346605021085,362.478862207349,299.192530802925,387.487302072892,348.104815830719,410.898558474272,401.947761555351
62577700,9.407,0,0,0.1,0,0,0,0.1,0,0,0.1,115,0,0,30.19,54.75,64.31,30.06,33.6282755289484,54.1531998326671,109.531940808412,70.7081296156744,167.214556502645,100.01022242499,218.343872769978,139.790424540888,271.045515173622,191.079511408266,323.660224147326,246.743389619443,363.14515565273,298.51322454097,388.357030006462,347.311513696594,412.062189159491,400.952592029903
62577900,9.608,0,0,0.1,0,0,0,0.1,0,0,0.1,115,0,0,30.13,54.75,70.56,30,33.7230718532425,54.190716432434,109.635203082943,70.716721618599,167.333368141252,100.006015530773,218.466319628991,139.574850788983,271.350405797247,190.757998325828,324.147496767858,246.285235790458,363.774698516548,297.842483725587,389.017478494844,346.631617675877,412.863529288202,400.240794787288
62578100,9.813,0,0,0.1,0,0,0,0.1,0,0,0.1,115,0,0,30.13,54.75,70.56,30,33.726468518761,54.1925150082222,109.694273834663,70.7421209319824,167.386039106638,99.8935231260609,218.628462168075,139.33296602525,271.702701592303,190.274830480561,324.739233589634,245.692064818305,364.630877488518,297.065590175411,390.091784205127,345.775632856939,414.276517412619,399.297172458305
62578300,10.008,0,0,0,0,0,0,0,0,0,0,115,0,0,30.13,54.75,70.56,30,33.6938709041095,54.2340321450539,109.739599925334,70.7236195995892,167.439878530431,99.7860240226495,218.748152911796,139.026986761898,272.027175731077,189.820064691095,325.172785108283,245.110139358384,365.328210311315,296.407603227014,391.16381732044,344.945979260553,415.911391740901,398.307881181007
62578500,10.208,0,0,0,0,0,0,0,0,0,0,115,0,0,30.06,54.56,74.94,30,33.6991981932606,54.2757896127206,109.742393520525,70.705441365548,167.484214084762,99.6718494577813,218.942012633942,138.873010015243,272.255412603599,189.586452005358,325.515505507275,244.751638083177,365.894031059805,295.779790348625,392.357545409351,344.077819134947,417.700970102078,397.155006245871
62578700,10.408,0,0,0,0,0,0,0,0,0,0,115,0,0,30.06,54.56,74.94,30,33.7539039847565,54.1985429087893,109.766190628902,70.6649990067155,167.562906709439,99.5864339270146,218.944121263502,138.726052609531,272.419766213916,189.300608303828,325.837395060087,244.473480275605,366.540349148786,295.306709696391,393.319184221244,343.374278464016,419.386491333692,396.069364831331
62578900,10.608,0,0,0,0,0,0,0,0,0,0,115,0,0,29.75,54.25,78.56,30,33.7500537168599,54.149030713419,109.755005542454,70.6696535050664,167.557681132553,99.5491941997708,219.072350194611,138.655240714843,272.604951320274,189.141185193129,326.101207023853,244.189471914696,367.082828766091,294.777686740331,394.387731611403,342.638961093926,421.162082856133,394.93880464215
62579100,10.808,0,0,0,0,0,0,0,0,0,0,115,0,0,29.75,54.25,78.56,30,33.693375115073,54.2158324629738,109.752195857554,70.6533437582735,167.559763490476,99.535151259011,219.196805477681,138.552803940805,272.759417125629,188.984940232034,326.410071384204,243.99043071408,367.632921602387,294.334552672208,395.406698627599,341.903743230001,422.702541487015,393.980336912071
